tagId,timestamp,dateTime,loc(x),loc(y),loc(z),yaw,roll,pitch,acc(x),acc(y),acc(z),gyro,magnetic,label
26660,1650215288.955,"19:08:08,955000",3460,6201,1139,3.843,0.063,-0.112,2,126,998,"{'x': 4.25, 'y': 5.125, 'z': 22.8125}","{'x': 8.6875, 'y': -20.5, 'z': -33.5}",2
26651,1650215289.039,"19:08:09,039000",3147,4964,937,0.016,0.063,-0.003,55,0,953,"{'x': 0.125, 'y': 0, 'z': -0.0625}","{'x': 1.1875, 'y': 7.1875, 'z': -14.25}",2
26660,1650215289.107,"19:08:09,107000",3413,6280,1168,3.735,0.052,-0.097,58,129,942,"{'x': -22.625, 'y': -15.8125, 'z': 31.125}","{'x': 7.5, 'y': -21.5625, 'z': -31.5}",2
26651,1650215289.199,"19:08:09,199000",3146,4961,950,0.016,0.063,-0.003,56,1,951,"{'x': -0.125, 'y': 0, 'z': 0.0625}","{'x': 0.75, 'y': 8.25, 'z': -15.0625}",2
26660,1650215289.274,"19:08:09,274000",3369,6358,1162,3.665,0.037,-0.095,58,102,987,"{'x': 1.6875, 'y': 2.875, 'z': 25.4375}","{'x': 6, 'y': -20.75, 'z': -32.375}",2
26651,1650215289.364,"19:08:09,364000",3138,4957,916,0.016,0.063,-0.003,56,2,953,"{'x': 0, 'y': 0, 'z': 0}","{'x': 0.375, 'y': 6.75, 'z': -14.25}",2
26660,1650215289.442,"19:08:09,442000",3340,6438,1222,3.635,0.043,-0.124,-1,-58,1142,"{'x': -18.25, 'y': 25.375, 'z': 18.6875}","{'x': 4.0625, 'y': -23.75, 'z': -31.6875}",2
26651,1650215289.538,"19:08:09,538000",3134,4957,921,0.016,0.063,-0.003,53,4,955,"{'x': -0.125, 'y': 0.125, 'z': 0}","{'x': 0.375, 'y': 7.1875, 'z': -15.875}",2
26660,1650215289.598,"19:08:09,598000",3272,6516,1238,3.635,0.05,-0.118,44,53,995,"{'x': -20.875, 'y': 6.125, 'z': 3.375}","{'x': 4.0625, 'y': -22.6875, 'z': -33}",2
26651,1650215289.696,"19:08:09,696000",3126,4958,921,0.016,0.063,-0.003,55,0,953,"{'x': 0.0625, 'y': 0.0625, 'z': -0.125}","{'x': 0.75, 'y': 7.875, 'z': -15.875}",2
26660,1650215289.767,"19:08:09,767000",3184,6591,1261,3.616,0.067,-0.107,-11,162,902,"{'x': -9.8125, 'y': -7.0625, 'z': 12.5625}","{'x': 2.875, 'y': -22.1875, 'z': -32.0625}",2
26651,1650215289.848,"19:08:09,848000",3130,4959,904,0.016,0.063,-0.003,55,2,954,"{'x': -0.3125, 'y': 0, 'z': -0.1875}","{'x': 0.375, 'y': 7.1875, 'z': -15.0625}",2
26660,1650215289.918,"19:08:09,918000",3103,6658,1263,3.546,0.065,-0.104,53,104,1093,"{'x': 14.5625, 'y': -3.3125, 'z': 20.375}","{'x': 2.5625, 'y': -21.5625, 'z': -32.0625}",2
26651,1650215290.02,"19:08:10,020000",3130,4960,896,0.016,0.063,-0.003,56,2,956,"{'x': 0.0625, 'y': -0.125, 'z': 0.0625}","{'x': -0.375, 'y': 6.75, 'z': -14.25}",2
26660,1650215290.081,"19:08:10,081000",3013,6720,1288,3.434,0.065,-0.085,-41,23,952,"{'x': 20.8125, 'y': -9.75, 'z': 44}","{'x': 0, 'y': -21.1875, 'z': -33.25}",2
26651,1650215290.174,"19:08:10,174000",3127,4959,904,0.016,0.063,-0.003,56,1,951,"{'x': 0.125, 'y': 0.0625, 'z': -0.1875}","{'x': -0.375, 'y': 7.5625, 'z': -15.5}",2
26660,1650215290.248,"19:08:10,248000",2937,6774,1346,3.314,0.058,-0.087,21,98,956,"{'x': -7.0625, 'y': -8.8125, 'z': 45.125}","{'x': -0.75, 'y': -21.5625, 'z': -32.1875}",2
26651,1650215290.337,"19:08:10,337000",3126,4961,898,0.016,0.063,-0.003,56,1,955,"{'x': 0.125, 'y': -0.0625, 'z': 0.0625}","{'x': -0.375, 'y': 7.875, 'z': -14.6875}",2
26660,1650215290.417,"19:08:10,417000",2851,6818,1368,3.229,0.044,-0.089,32,110,965,"{'x': -2.75, 'y': 7.3125, 'z': 24.625}","{'x': -3, 'y': -21.875, 'z': -33.0625}",2
26651,1650215290.512,"19:08:10,512000",3126,4961,915,0.016,0.063,-0.003,56,0,954,"{'x': -0.0625, 'y': -0.0625, 'z': 0.0625}","{'x': 0.375, 'y': 7.1875, 'z': -14.6875}",2
26660,1650215290.586,"19:08:10,586000",2791,6858,1421,3.181,0.059,-0.098,33,-81,1172,"{'x': -12.1875, 'y': 10.6875, 'z': 17.5625}","{'x': -5, 'y': -20.75, 'z': -32.75}",2
26651,1650215290.674,"19:08:10,674000",3128,4960,914,0.016,0.063,-0.003,56,1,953,"{'x': 0.125, 'y': 0, 'z': -0.125}","{'x': 0.75, 'y': 8.25, 'z': -13.875}",2
26660,1650215290.755,"19:08:10,755000",2707,6897,1413,3.142,0.087,-0.074,25,-20,984,"{'x': -25.5625, 'y': 10.375, 'z': 16.9375}","{'x': -7.1875, 'y': -23.0625, 'z': -31.5}",2
26651,1650215290.843,"19:08:10,843000",3125,4960,910,0.016,0.063,-0.003,53,2,953,"{'x': 0.0625, 'y': -0.25, 'z': -0.0625}","{'x': 0.375, 'y': 6.375, 'z': -15.0625}",2
